tenure month,loan fee,loan,mobile transactions,mobile transactions value,mobile services,app users,TOTAL_INFLOW,SALARY_STATUS,TOTAL_OUTFLOW,age,gender,is_default
2,4.7,1844.6923,16,95200,4,1,197005,0,217578,21,M,Y
21,9.6,70680,16,95200,4,1,197005,0,217578,21,M,N
14,7.8,86892,42,414508.47,8,1,1554375,0,1598128,57,M,N
2,4.7,2136,4,264000,3,0,2088884,1,2304918,28,M,Y
14,7.8,12254,4,55000,3,0,92280,0,85075,38,M,N
28,10.9,11580,10,3000,2,0,523448,0,531735,21,M,Y
28,10.9,11580,18,31000,3,0,732125,0,734601,20,F,Y
28,10.9,112326,8,30000,2,0,240324,0,294854,28,F,N
14,7.8,17824,8,10000,2,0,141322,0,137498,47,F,Y
5,4.7,17088,8,10000,2,0,141322,0,137498,47,F,N
21,9.6,68400,50,3909000,8,1,582000,0,3950142,32,M,N
21,9.6,68400,60,10483000,5,1,18705000,0,12821156,37,F,N
14,7.8,14816.2,17,12300,3,0,342135,0,458251,57,M,Y
7,6.6,19728,11,9500,4,0,1765896,0,1812944,35,M,N
2,4.7,1065.0523,7,295000,3,0,943320,0,989081,30,M,Y
2,4.7,1403.117,5,6000,2,0,85000,0,88850,32,F,N
14,7.8,169983.032,22,164000,5,0,1935597,0,2399222,39,M,N
28,10.9,5790,4,206000,4,0,308741,0,309731,22,F,Y
14,7.8,86892,4,0,1,0,3753300,0,3733850,47,M,Y
21,9.6,68400,23,1839000,3,0,2252000,0,2860295,29,F,Y
14,7.8,87031.25,28,327000,3,0,741388,0,608842,47,M,Y
7,6.6,85625,3,0,1,0,1852000,0,2918300,27,M,Y
7,6.6,68500,3,0,1,0,1852000,0,2918300,27,M,N
21,9.6,26220,15,380000,4,0,1986125,1,2174800,36,M,N
21,9.6,26220,6,9000,3,0,20000,0,38831,31,F,Y
14,7.8,22781.3,23,17100,4,0,435271,0,469965,46,M,N
21,9.6,20196.24,40,1310000,3,1,2317824,0,2008944,22,F,N
1,4.7,4673.5146,16,55800,5,1,253102,0,232104,32,M,N
28,10.9,36187.5,38,246558.47,8,1,2123880,1,2195829,26,M,N
2,4.7,2948.5344,8,151000,2,0,263856,1,246747,34,M,N
7,6.6,24112,14,16300,2,0,1560,0,161470,22,M,N
7,6.6,23564,14,16300,2,0,1560,0,161470,22,M,Y
5,4.7,34176,1,0,1,0,2096120,0,1649655,39,F,N
7,6.6,54800,59,15852008.47,6,1,22438000,1,19205255,28,M,N
7,6.6,133712,3,0,1,0,344568,0,346022,42,M,Y
14,7.8,108788.784,21,13200,3,1,227125,0,453300,29,M,N
14,7.8,55700,27,1748000,5,0,5529652,1,5897131,39,M,Y
21,9.6,11400,2,0,1,0,100000,1,99300,27,M,Y
28,10.9,2547.6,41,57474,6,1,1103789,1,1292837,25,M,Y
7,6.6,85597.6,8,160000,3,0,275500,0,325500,49,M,N
28,10.9,5095.2,12,62000,4,0,278384,0,460204,23,M,N
7,6.6,4384,12,62000,4,0,278384,0,460204,23,M,Y
2,4.7,1959.0431,9,33500,3,0,423326,0,426599,26,M,Y
28,10.9,3474,52,56700,5,1,77900,0,290000,24,M,Y
21,9.6,11400,9,175000,3,0,342000,1,198679,54,M,N
2,4.7,18210.6068,7,51000,3,0,530000,0,481853,27,F,N
28,10.9,90324,10,888500,4,1,222375,0,964376,34,M,N
28,10.9,57900,10,222000,5,0,500000,0,551660,31,M,Y
21,9.6,71250,5,392000,3,0,1513630,0,1295059,30,M,N
14,7.8,14482,7,21000,3,0,763448,1,786872,56,M,Y
21,9.6,57000,0,0,0,0,200000,0,587400,38,M,Y
14,7.8,25622,2,16000,2,0,21920,0,20420,58,M,Y
28,10.9,72375,59,839000,7,0,1166169,1,1384175,31,F,N
28,10.9,14011.8,3,8000,2,0,25238,0,23518,57,M,N
1,2.7,41836.08,19,34000,2,0,754411,1,787910,37,M,N
21,9.6,30153,6,77000,4,0,72020,0,93631,27,M,Y
21,9.6,1140,0,0,0,0,0,0,0,53,M,N
14,7.8,16710,14,91000,3,0,2637000,0,2595565,32,M,N
28,10.9,26634,4,133500,2,0,143193,0,363194,32,M,Y
21,9.6,45600,14,2000,2,0,341230,0,296195,38,M,Y
5,4.7,42933.6,14,2000,2,0,341230,0,296195,38,M,Y
28,10.9,11580,23,374100,5,1,276300,1,392213,28,M,N
14,7.8,12254,13,42000,2,0,128040,0,126493,58,M,Y
7,6.6,12056,13,42000,2,0,128040,0,126493,58,M,N
21,9.6,5700,10,51000,5,1,10260,0,97039,21,F,N
28,10.9,10422,5,132500,3,0,166698,0,166452,28,F,Y
21,9.6,45600,0,0,0,0,137000,0,137937,50,M,N
28,10.9,26634,2,47000,1,0,123173,0,121900,30,M,N
28,10.9,30687,5,1000,2,0,59010,0,58924,25,M,N
28,10.9,23160,5,1000,2,0,59010,0,58924,25,M,N
28,10.9,46320,1,0,1,0,1166776,0,808555,33,M,Y
2,4.7,6835.2107,53,265700,4,1,856022,1,957207,43,M,Y
2,4.7,3049.375,53,265700,4,1,856022,1,957207,43,M,Y
28,10.9,26634,1,15000,1,0,22800,0,21700,56,M,Y
14,7.8,28964,77,834000,7,1,2478466,1,2702698,29,M,Y
2,4.7,961.2107,4,185000,2,0,200009,1,202360,37,M,Y
2,4.7,213.2048,4,185000,2,0,200009,1,202360,37,M,Y
14,7.8,28964,0,0,0,0,850000,0,27422,43,M,Y
21,9.6,57000,6,260577,4,0,780013,1,1408428,27,M,N
28,10.9,13896,3,14000,2,0,477438,0,234461,34,F,N
28,10.9,72375,3,45000,2,0,115700,0,110400,33,M,N
28,10.9,71796,0,0,0,0,152000,0,229550,26,M,Y
7,6.6,54800,29,122000,4,0,448600,1,321196,34,M,N
28,10.9,14011.8,9,323000,6,0,1477788,1,1472144,49,M,Y
14,7.8,13479.4,3,5000,2,0,57056,0,40062,33,M,Y
14,7.8,12254,54,493582,5,1,1268485,1,1233697,28,M,N
14,7.8,87031.25,0,0,0,0,181025,0,177825,49,M,Y
14,7.8,22280,1,0,1,0,724002,1,869646,31,M,Y
14,7.8,11140,2,0,1,0,39868,0,39776,25,M,N
21,9.6,11400,1,1500,1,0,0,0,107610,21,M,Y
28,10.9,11580,3,6000,2,0,763819,1,785320,37,F,Y
2,4.7,6964.8018,2,21000,2,0,0,0,21400,41,M,N
28,10.9,69480,54,928000,7,1,1121126,1,1656870,35,M,Y
2,4.7,3625.4435,6,488000,3,0,1207040,0,2061981,40,M,N
2,4.7,12909.6209,18,345000,3,0,1189000,0,1428890,33,F,Y
28,10.9,90324,43,62000,4,1,1216875,0,1226045,32,F,N
28,10.9,46320,6,78000,2,0,257000,0,224200,38,M,N
28,10.9,57900,3,100000,3,0,0,0,1019200,37,M,N
14,7.8,7129.6,8,3700,2,0,683375,1,943196,41,M,Y
2,4.7,7999.9288,16,596000,4,0,1518695,1,2053864,28,M,N
21,9.6,12540,5,8000,3,0,415400,1,315689,34,M,N
7,6.6,68500,42,22233347.46,6,0,28519691,0,33426452,35,M,N
21,9.6,4560,5,33000,3,0,200000,0,200367,36,F,Y
21,9.6,1710,12,63000,3,0,47821,0,117807,20,M,N
21,9.6,7980,12,63000,3,0,47821,0,117807,20,M,N
28,10.9,5790,2,90000,2,0,410816,0,224736,37,M,N
28,10.9,2316,61,44800,4,0,179203,0,168623,41,M,Y
28,10.9,11580,61,44800,4,0,179203,0,168623,41,M,Y
28,10.9,3474,61,44800,4,0,179203,0,168623,41,M,Y
28,10.9,1621.2,61,44800,4,0,179203,0,168623,41,M,N
2,4.7,12915.2492,0,0,0,0,0,0,0,22,M,Y
7,6.6,10960,5,8000,4,0,0,0,309810,28,M,N
28,10.9,112326,8,64000,3,0,376199,1,265695,25,M,Y
14,7.8,169328,56,474000,7,0,3971411,1,3911562,30,M,N
14,7.8,169328,56,474000,7,0,3971411,1,3911562,30,M,N
5,4.7,11748,2,2000,2,0,931400,0,675000,21,M,Y
21,9.6,28500,5,40000,2,0,7184200,0,7204438,40,M,Y
21,9.6,12540,9,610000,4,0,5153020,1,4907931,36,M,N
21,9.6,26220,14,99000,5,0,2047058,1,2162500,30,M,N
28,10.9,26634,1,18000,1,0,23160,0,22360,32,M,N
14,7.8,35648,1,0,1,0,26648640,0,26643998,52,M,N
21,9.6,21660,14,4000,2,0,363428,0,359009,39,M,Y
14,7.8,18603.8,14,4000,2,0,363428,0,359009,39,M,N
14,7.8,69068,6,68500,3,0,115810,0,653270,41,F,N
21,9.6,71250,17,78000,3,0,57000,0,209153,30,F,Y
21,9.6,57000,5,17000,4,1,171000,0,604150,34,M,N
14,7.8,16264.4,16,137000,2,0,1563399,1,1580593,38,M,Y
1,2.7,31200,19,28700,5,1,115800,0,79600,24,M,N
7,6.6,68500,19,28700,5,1,115800,0,79600,24,M,Y
14,7.8,22280,2,0,1,1,1076000,1,1071500,26,M,N
2,4.7,10438.632,37,189500,3,0,190000,0,424400,59,M,N
28,10.9,57900,0,0,0,0,0,0,0,27,F,Y
21,9.6,22800,3,23500,3,0,2082350,1,1987300,32,M,N
21,9.6,11400,0,0,0,0,0,0,0,25,F,Y
21,9.6,88920,6,58000,2,0,199250,0,197542,32,M,N
21,9.6,12540,7,2000,2,0,902408,0,784910,32,M,N
5,4.7,5340,1,0,1,0,10000,0,2200,41,M,Y
21,9.6,89062.5,27,431200,6,1,914925,0,1392834,29,M,N
14,7.8,21166,9,798000,4,0,206303,0,886641,27,F,N
21,9.6,71250,2,45000,2,0,57000,0,56400,41,M,Y
7,6.6,85488,25,254000,4,0,1055956,0,1046351,56,M,N
1,2.7,11440,2,8000,2,0,1213544,1,1209080,38,M,Y
14,7.8,34812.5,2,0,1,0,587100,0,741900,31,M,N
2,4.7,8422.248,25,2092000,4,0,1207000,0,2963280,24,M,Y
14,7.8,55700,9,165000,2,0,636700,0,266150,30,M,Y
28,10.9,46320,10,350500,2,0,1557900,0,1557850,43,M,N
21,9.6,26220,14,73500,3,0,182800,0,177552,37,M,Y
1,2.7,11440,0,0,0,0,85000,0,50000,20,M,N
1,2.7,10400,0,0,0,0,85000,0,50000,20,M,Y
7,6.6,43840,20,4251500,4,0,11035800,0,11379802,44,M,N
28,10.9,72375,6,990847.46,3,0,1179537,1,1174569,35,M,Y
1,2.7,20800,6,25000,3,0,0,0,478100,24,M,N
5,4.7,32040,11,655000,2,0,27400971,0,25404276,26,M,N
2,4.7,4381.6195,11,655000,2,0,27400971,0,25404276,26,M,Y
21,9.6,22800,3,465000,1,0,0,0,486500,40,M,Y
28,10.9,12738,11,50000,2,1,125960,0,65070,20,M,Y
14,7.8,8912,7,10000,3,0,310692,1,311971,27,F,N
2,4.7,9235.6582,3,60000,2,0,64546,0,64300,24,M,N
21,9.6,26220,10,2000,2,0,400655,0,400455,58,M,N
28,10.9,12738,16,564500,6,1,863140,1,655948,28,F,N
28,10.9,50952,3,8500,2,0,5700,0,11500,24,M,Y
2,4.7,1368.9731,11,36300,3,0,693430,1,736354,31,M,Y
21,9.6,88920,9,937000,4,0,1920680,0,1474600,30,F,N
21,9.6,22800,12,587000,4,1,1044498,1,1043510,27,M,N
2,4.7,3151.3156,3,5000,3,0,62080,0,16782,24,M,Y
28,10.9,2316,5,4500,2,1,407090,1,407492,25,M,N
21,9.6,2280,5,4500,2,1,407090,1,407492,25,M,Y
14,7.8,24508,4,0,1,0,35908,0,60807,43,F,N
5,4.7,103596,91,437000,6,1,1656463,0,2014963,24,M,N
28,10.9,5790,10,40000,4,0,1663591,1,1456390,58,M,N
21,9.6,71250,12,848000,4,0,2282771,0,2284936,37,M,N
14,7.8,33885.652,14,54000,3,1,658964,1,545636,26,F,Y
21,9.6,89062.5,10,301000,3,0,3694031,1,4137955,34,M,Y
21,9.6,22800,1,0,1,0,755000,0,755000,28,M,Y
14,7.8,55700,3,0,1,0,797800,0,773600,36,M,N
21,9.6,57000,1,0,1,0,1095600,0,730568,31,M,Y
2,4.7,13215.8806,4,730000,2,0,745678,1,745005,46,M,Y
28,10.9,72375,3,10000,2,0,520000,0,542550,24,M,Y
28,10.9,13896,3,9999,2,0,25238,0,27442,27,M,Y
28,10.9,11580,0,0,0,0,254123,1,179160,39,M,Y
21,9.6,71250,24,502000,4,0,1057000,1,564600,40,M,N
21,9.6,9120,4,0,1,0,22140,0,22137,30,M,Y
2,4.7,4646.1311,62,925551,8,1,3206000,0,3709056,32,M,Y
21,9.6,26220,8,26009,3,0,6045600,0,6029103,54,M,Y
28,10.9,11580,34,295349.47,7,1,1956461,1,1562817,33,M,N
21,9.6,70680,3,20000,3,1,458422,1,565000,39,M,N
7,6.6,85488,4,400000,3,0,788900,0,833278,45,M,N
2,4.7,4540.0573,5,3000,2,0,204738,0,202122,29,M,Y
28,10.9,90324,25,47647.46,7,1,1745699,1,1111417,42,M,Y
21,9.6,110580,10,212000,3,0,228920,0,301445,32,M,Y
21,9.6,13680,17,18500,3,0,66840,0,85095,24,F,Y
21,9.6,29640,5,25000,2,0,1556576,1,1344606,36,M,Y
28,10.9,112326,15,308600,5,0,2433191,1,2712762,31,M,N
21,9.6,57000,0,0,0,0,904254,1,1153530,34,M,N
28,10.9,11580,3,10000,2,0,297773,1,117880,29,M,N
28,10.9,26634,0,0,0,0,382960,0,182035,29,F,Y
21,9.6,2850,16,16100,4,0,211472,0,360627,23,F,Y
21,9.6,2280,16,16100,4,0,211472,0,360627,23,F,Y
21,9.6,5700,16,16100,4,0,211472,0,360627,23,F,Y
21,9.6,10032,32,919000,6,0,1793867,1,1794388,38,M,N
28,10.9,12738,4,35000,3,0,541203,1,549242,37,M,Y
5,4.7,8544,10,9500,2,1,19738,0,26576,29,M,Y
2,4.7,1503.9256,24,145000,4,0,440078,0,421371,29,M,N
28,10.9,57900,27,24000,5,0,19238,0,263774,21,M,N
5,4.7,11748,49,1517000,5,0,940000,0,1672771,27,M,Y
28,10.9,38214,49,1517000,5,0,940000,0,1672771,27,M,Y
14,7.8,20052,7,100000,4,0,331124,0,199684,31,F,Y
21,9.6,89062.5,44,747500,6,0,2199738,1,2116106,46,M,Y
21,9.6,57000,12,513000,5,0,2155838,1,1684591,37,M,N
28,10.9,72375,3,0,1,0,417900,0,321650,44,M,Y
28,10.9,57900,18,840000,3,0,880780,0,1388560,20,F,Y
20,9.6,12540,9,86300,4,0,1279718,1,1446441,36,M,Y
21,9.6,12540,2,0,1,0,271580,0,263160,44,M,Y
21,9.6,71250,28,78209,3,0,221000,0,273340,45,M,Y
28,10.9,46320,4,47500,3,0,0,0,52200,45,M,Y
21,9.6,29640,6,32500,3,1,653990,0,414517,26,M,N
14,7.8,108058,9,281000,4,1,2866361,1,3053624,51,M,N
21,9.6,71250,9,818000,4,0,3981798,1,5746000,39,M,N
14,7.8,11140,3,10000,2,0,311000,1,309705,38,F,Y
28,10.9,23160,4,0,1,0,1355101,1,1254220,37,M,Y
21,9.6,18240,2,0,1,0,288800,1,290209,22,M,Y
5,4.7,15636.588,7,13000,3,0,135919,0,114322,52,F,N
21,9.6,12540,16,1137700,4,0,1729656,1,1444706,28,M,Y
21,9.6,11400,2,0,1,0,0,0,2039,22,M,N
14,7.8,33885.652,63,534500,5,0,2411363,1,1290982,34,M,Y
28,10.9,12738,14,186500,3,0,1422845,1,1437309,40,F,Y
7,6.6,85488,20,763000,3,0,3200325,0,3089695,43,M,Y
21,9.6,30153,3,1000,2,0,145924,0,144258,39,F,Y
28,10.9,12738,6,25000,4,1,261580,1,264399,23,M,N
2,4.7,3664.4682,1,0,1,0,6500,0,400,46,M,Y
28,10.9,11580,17,53500,6,0,347857,1,347641,37,M,Y
7,6.6,68500,7,1030000,3,0,686612,1,1062300,59,M,N
21,9.6,22800,0,0,0,0,0,0,0,53,M,N
28,10.9,57900,5,6000,2,1,353556,1,360700,32,M,N
13,7.8,2228,0,0,0,0,0,0,0,22,M,Y
28,10.9,90324,8,27000,2,0,239480,0,801530,40,F,N
21,9.6,26220,2,500,2,0,359457,1,352965,40,M,Y
7,6.6,65760,5,84000,2,0,5579,0,153135,21,F,Y
2,4.7,23846.4749,2,18000,2,0,1022800,0,1022710,43,M,N
28,10.9,57900,1,59500,1,0,0,0,61300,25,M,Y
21,9.6,12540,1,0,1,0,11403,0,10803,47,M,Y
21,9.6,22800,9,26500,3,0,40000,0,42450,33,M,N
21,9.6,57000,7,72000,2,0,205068,0,219060,37,M,Y
21,9.6,10032,3,61000,2,0,311580,0,311581,33,M,N
14,7.8,29465.3,17,372500,5,0,814020,0,766870,38,F,Y
21,9.6,108300,4,122000,2,0,556200,0,575480,31,F,Y
28,10.9,54426,14,15000,2,0,412953,0,123263,33,M,N
21,9.6,57000,2,0,1,0,0,0,22450,38,F,Y
5,4.7,10680,3,4000,2,1,0,0,4950,22,M,N
28,10.9,72375,11,134000,2,0,106800,0,259350,21,F,N
21,9.6,35340,31,746000,4,0,308500,0,915653,29,M,N
21,9.6,110580,31,133500,6,0,2499330,1,2868720,49,M,N
21,9.6,13680,1,0,1,0,212960,1,208120,30,M,N
7,6.6,12056,1,0,1,0,212960,1,208120,30,M,N
21,9.6,71250,5,105000,2,0,387000,0,419560,26,F,Y
28,10.9,72375,17,516500,3,0,817459,1,819214,39,M,N
28,10.9,26634,33,1077508.47,9,1,1321280,0,1179158,34,M,Y
7,6.6,10960,3,0,1,0,332960,0,69474,32,M,Y
28,10.9,14011.8,3,24000,2,0,375338,0,147190,47,M,Y
7,6.6,12056,9,17000,3,0,370000,0,375521,43,M,N
7,6.6,10960,9,17000,3,0,370000,0,375521,43,M,N
2,4.7,4876.8191,5,4000,3,0,947071,1,960910,38,M,Y
5,4.7,64080,29,527800,5,1,303400,0,862035,28,F,N
21,9.6,139080,14,147500,5,0,500390,0,1292022,41,M,N
7,6.6,25208,11,75500,3,0,162800,0,513700,35,M,N
7,6.6,17536,7,576000,4,0,854933,1,854587,47,M,Y
2,4.7,2930.026,1,6000,1,0,247500,0,249300,33,F,N
21,9.6,71250,8,145000,5,0,137000,0,219365,27,F,Y
20,9.6,57000,41,150782,6,0,1381000,0,1409247,41,M,N
21,9.6,28500,2,0,1,0,207000,0,512536,57,M,N
21,9.6,71250,14,109500,3,0,1257000,0,1250486,28,M,N
14,7.8,16710,15,303000,4,1,2254530,0,2255678,30,M,Y
21,9.6,57000,2,52000,2,0,592555,1,741900,30,M,Y
21,9.6,22800,9,6000,2,0,392802,1,231400,30,M,Y
5,4.7,13884,26,462700,6,1,515000,0,663013,23,M,N
1,2.7,1040,26,462700,6,1,515000,0,663013,23,M,N
1,2.7,1040,26,462700,6,1,515000,0,663013,23,M,Y
1,2.7,10400,26,462700,6,1,515000,0,663013,23,M,N
14,7.8,13479.4,5,730000,2,0,1002540,0,770540,44,M,N
2,4.7,3773.4896,3,41000,3,0,281115,1,276949,29,M,N
14,7.8,16710,17,628000,4,0,1118205,0,1368536,46,F,Y
14,7.8,11140,12,8000,3,1,349279,1,341949,48,M,N
21,9.6,89062.5,5,32000,2,0,186375,0,210525,30,M,N
2,4.7,3649.4414,2,2500,2,0,554000,0,544700,35,F,Y
21,9.6,57000,28,366500,3,0,785818,1,1078835,27,M,N
21,9.6,71250,8,203000,4,0,707000,0,698955,33,F,Y
28,10.9,20844,12,3000,2,1,45844,0,138538,37,M,N
28,10.9,4483.776,4,29000,2,0,201287,0,201287,23,F,N
28,10.9,69480,38,1453000,8,0,1738865,1,1748099,48,M,N
21,9.6,13794,2,10000,2,0,25540,0,25540,35,M,Y
14,7.8,22280,43,511800,7,0,677884,0,806637,42,M,N
28,10.9,72375,8,1500,2,0,112900,0,112933,24,M,Y
2,4.7,8031.392,1,0,1,0,0,0,400,24,M,Y
21,9.6,22800,7,36500,2,0,151600,0,108300,32,M,Y
21,9.6,13352.82,15,18000,3,0,296067,0,199628,31,M,N
1,4.7,87.1274,10,0,1,0,59000,0,65383,35,M,N
21,9.6,11400,10,0,1,0,59000,0,65383,35,M,Y
28,10.9,46320,1,35000,1,0,8000000,0,8014462,26,F,N
21,9.6,68400,5,30000,3,0,1310000,0,2083040,37,F,Y
7,6.6,10960,25,171000,6,0,236964,1,240319,25,M,Y
7,6.6,17536,6,508.47,2,0,138359,0,162915,28,M,Y
5,4.7,5340,19,2000,2,1,1056282,1,1057850,48,M,N
28,10.9,57900,9,2820000,4,1,4735000,0,4456840,35,M,N
21,9.6,11400,0,0,0,0,0,0,158853,25,F,Y
21,9.6,71250,14,639000,5,0,57000,0,687850,31,F,N
28,10.9,57900,74,2076508.47,8,1,1718589,0,3425233,33,F,Y
21,9.6,10032,5,1500,2,1,27540,0,27163,23,M,Y
28,10.9,57900,10,3500,3,0,1208349,1,568503,37,F,Y
28,10.9,11580,7,6500,3,1,888272,1,886172,51,M,N
21,9.6,17812.5,5,340000,3,0,740000,0,488829,35,F,Y
21,9.6,57000,9,192500,5,1,2974990,1,3098020,30,M,Y
2,4.7,13543.543,39,3810000,4,0,3927637,0,3927638,41,M,N
7,6.6,21920,44,472679,5,0,478605,1,549783,33,M,N
21,9.6,57000,1,0,1,0,0,0,14191,47,M,N
7,6.6,10960,10,18500,3,0,0,0,71865,28,F,N
14,7.8,28964,11,2000,2,0,1020817,1,925882,27,M,Y
28,10.9,57900,50,748000,3,0,2488280,1,1901040,31,M,Y
28,10.9,10190.4,0,0,0,0,587738,1,476233,25,M,Y
5,4.7,11748,2,8000,2,1,145400,0,142800,38,M,N
21,9.6,4560,0,0,0,0,298711,1,298441,28,M,Y
7,6.6,27400,1,47000,1,0,55860,0,57002,55,M,Y
14,7.8,69625,1,500,1,0,57000,0,57000,30,M,N
28,10.9,72375,2,45000,2,0,57000,0,54400,32,M,N
14,7.8,17824,34,232500,5,1,518080,1,775939,30,M,N
